代碼,學系,國,英,數甲,數乙,物,化,生,歷,地,公
01104,數學系甲組(數學組),x1.00,x1.50,x2.00,--,x1.50,x1.00,--,--,--,--
01105,數學系乙組(應用數學組),x1.00,x1.50,x2.00,--,x1.50,x1.00,--,--,--,--
01106,物理學系物理組(甲組一般組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01107,物理學系光電物理組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01108,化學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01109,生醫工程與環境科學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01110,工程與系統科學系甲組(低碳綠能組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01111,化學工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01112,動力機械工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01113,材料科學工程學系甲組,x1.00,x1.50,x1.00,--,x1.50,x1.50,--,--,--,--
01114,工業工程與工程管理學系,x1.00,x1.50,x1.50,--,x1.00,x1.00,--,--,--,--
01115,電機工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01116,資訊工程學系甲組(電子資訊組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01117,生命科學系,--,x1.25,x1.00,--,x1.00,x1.25,x1.25,--,--,--
01118,經濟學系第1組,x1.00,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
01119,工程與系統科學系乙組(智慧奈米系統組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01120,科技管理學院學士班,x1.50,x2.00,x1.50,--,x1.00,x1.00,--,--,--,--
01121,理學院學士班,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01122,人文社會學院學士班,x1.50,x1.50,--,x1.00,--,--,--,x1.00,--,x1.00
01123,工學院學士班,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01124,生命科學院學士班,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
01125,電機資訊學院學士班甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01126,計量財務金融學系乙組,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
01127,原子科學院學士班,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01128,醫學科學系,--,x1.50,x1.00,--,x1.00,x1.50,x1.50,--,--,--
01129,資訊工程學系乙組(資訊工程組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01130,動力機械工程學系乙組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01131,經濟學系第2組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01132,電機工程學系乙組,x1.00,x1.50,x1.50,--,x1.50,x1.00,--,--,--,--
01133,中國文學系乙組(華語文教學組),x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
01134,物理學系物理組(乙組天文物理組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01135,材料科學工程學系乙組,x1.00,x1.50,x1.00,--,x1.50,x1.50,--,--,--,--
01136,教育與學習科技學系(自費),x2.00,x2.00,--,x1.00,--,--,--,x1.00,--,--
01138,幼兒教育學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,--,--
01139,竹師教育學院學士班乙組(永續發展教育組),x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01140,特殊教育學系,x2.00,x2.00,--,x1.00,--,--,--,x1.00,--,x1.00
01141,教育心理與諮商學系,x1.50,x2.00,--,x1.50,--,--,--,--,--,--
01142,資訊工程學系丙組(人工智慧組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01143,英語教學系(自費),x1.50,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
01144,竹師教育學院學士班甲組(雙專長組),x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01145,藝術與設計學系設計組,x1.50,x1.00,--,--,--,--,--,x1.50,--,--
01146,藝術與設計學系創作組,x1.50,x1.00,--,--,--,--,--,x1.50,--,--
01147,藝術學院學士班,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
01148,運動科學系,x1.25,x2.00,--,x1.25,--,--,--,--,--,--
01150,電機資訊學院學士班乙組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01151,教育與學習科技學系(公費),x2.00,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
01152,英語教學系(公費),x1.50,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
01201,中醫學系甲組,x1.00,x1.00,x1.50,--,--,x1.00,x1.00,--,--,--
01202,公共衛生學院大一不分系,x2.00,x2.00,--,--,--,x1.00,x2.00,--,--,--
01203,牙醫學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
01204,物理治療學系,--,x1.50,x1.00,--,x1.00,--,x1.25,--,--,--
01205,營養學系,x1.00,x2.00,--,--,--,x2.00,x2.00,--,--,--
01207,醫學檢驗生物技術學系,x1.00,--,--,--,--,x1.00,x1.25,--,--,--
01209,醫學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
01212,藥學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
01213,護理學系,x1.00,x1.00,--,--,--,x1.00,x1.00,--,--,--
01214,生物科技學系,x1.00,x1.25,--,--,--,x1.25,x1.50,--,--,--
01215,運動醫學系,x1.25,x2.00,--,--,--,--,x1.50,--,--,--
01216,中國藥學暨中藥資源學系,--,x1.50,x1.00,--,--,x1.50,x1.50,--,--,--
01217,藥用化妝品學系,x1.00,x2.00,--,--,--,x2.00,x2.00,--,--,--
01219,生物醫學影像暨放射科學學系,--,x1.00,x1.50,--,x1.00,--,x1.00,--,--,--
01221,中醫學系乙組,x1.00,x1.00,x1.50,--,--,x1.00,x1.00,--,--,--
01302,材料科學與工程學系乙組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01303,電機工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01304,電機工程學系乙組,--,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01305,資訊工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01306,資訊工程學系乙組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01307,機械工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01308,土木工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01309,材料科學與工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01310,電子物理學系電子物理組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01311,應用數學系,x1.00,x1.00,x1.50,--,x1.00,x1.00,--,--,--,--
01312,應用化學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01313,生物科技學系,--,x1.25,x1.00,--,x1.00,x1.50,x1.50,--,--,--
01314,管理科學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01315,運輸與物流管理學系,x1.00,x1.50,x1.50,--,x1.00,--,--,--,--,--
01316,工業工程與管理學系,x1.00,x1.50,x1.50,--,x1.00,x1.00,--,--,--,--
01317,外國語文學系,x1.50,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
01318,電子物理學系光電與奈米科學組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01319,光電工程學系,x1.00,x1.50,x1.50,--,x1.50,x1.00,--,--,--,--
01320,資訊管理與財務金融學系資訊管理組,x1.00,x2.00,x2.00,--,--,--,--,--,--,--
01321,人文社會學系,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.00
01322,傳播與科技學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
01325,奈米科學及工程學士學位學程,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01326,理學院科學學士學位學程甲組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01327,資訊管理與財務金融學系財務金融組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00901,中國文學系,x2.00,x1.75,--,--,--,--,--,x2.00,--,--
00902,外國語文學系,x1.25,x2.00,--,--,--,--,--,x1.00,--,--
00903,電機工程學系,x2.00,x1.25,x1.25,--,--,--,--,--,--,--
00905,應用物理學系(A組),x1.00,x1.00,x1.00,--,--,--,--,--,--,--
00906,資訊工程學系(資電工程組),x1.50,x2.00,x2.00,--,--,--,--,--,--,--
00907,建築學系,x1.50,x1.75,x2.00,--,x1.00,x1.00,--,--,--,--
00908,行政管理暨政策學系,x2.00,x2.00,--,--,--,--,--,--,--,x1.50
00909,社會工作學系,x2.00,x2.00,--,--,--,--,--,--,--,x1.75
00910,歷史學系,x2.00,x1.75,--,--,--,--,--,x2.00,--,--
00911,日本語言文化學系,x1.75,x2.00,--,--,--,--,--,x1.50,--,--
00912,生命科學系生物醫學組,x1.00,x2.00,--,--,--,x1.50,x2.00,--,--,--
00913,環境科學與工程學系(自然A組),x2.00,x1.50,x1.00,--,--,x2.00,--,--,--,--
00914,化學工程與材料工程學系(製程及能源工程組),x1.00,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
00915,工業設計學系,x2.00,x2.00,x1.75,--,x1.00,--,--,--,--,--
00916,財務金融學系,x1.00,x2.00,--,x1.50,--,--,--,--,--,--
00917,資訊管理學系(物聯網與大數據應用組),x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00918,經濟學系一般經濟組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00919,高齡健康與運動科學學士學位學程,x1.00,x1.00,--,x1.00,--,--,--,--,--,--
00920,食品科學系(A組),x1.00,x2.00,x1.00,--,--,x2.00,x2.00,--,--,--
00922,哲學系,x2.00,x1.50,--,x1.00,--,--,--,x1.00,--,x1.75
00923,化學系化學組,--,x1.50,x1.50,--,x1.00,x2.00,--,--,--,--
00924,應用數學系(A組),x1.75,x1.75,x2.00,--,--,--,--,--,--,--
00925,工業工程與經營資訊學系(智慧設計與生產組),x1.75,x2.00,x1.75,--,--,--,--,--,--,--
00926,企業管理學系(行銷與數位經營組),x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00927,經濟學系產業經濟組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00928,國際經營與貿易學系,x1.50,x2.00,--,x1.50,--,--,--,--,--,--
00930,會計學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,--
00931,景觀學系,x2.00,x2.00,--,--,--,--,x1.50,--,--,--
00932,統計學系(決策管理組),x1.50,x1.00,--,x2.00,--,--,--,--,--,--
00933,統計學系(巨量資料管理組),x1.50,x1.00,x2.00,--,--,--,--,--,--,--
00934,法律學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,--,x1.00
00935,政治學系政治理論組,x1.75,x2.00,--,--,--,--,--,--,--,x2.00
00936,政治學系國際關係組,x1.75,x2.00,--,--,--,--,--,--,--,x2.00
00937,社會學系,x2.00,x1.50,--,--,--,--,--,--,--,x1.50
00938,化學系化學生物組(A組),--,x1.50,x1.50,--,x1.00,x2.00,--,--,--,--
00939,畜產與生物科技學系(A組),x1.00,x1.00,--,--,--,--,x2.00,--,--,--
00941,餐旅管理學系,x2.00,x2.00,--,x1.50,--,--,--,x1.00,x1.00,--
00942,生命科學系生態暨生物多樣性組,x1.75,x2.00,--,--,--,--,x2.00,--,--,--
00943,資訊工程學系(軟體工程組),x1.50,x2.00,x2.00,--,--,--,--,--,--,--
00944,資訊工程學系(人工智慧組),x1.50,x2.00,x2.00,--,--,--,--,--,--,--
00945,環境科學與工程學系(自然B組),x2.00,x1.50,x1.00,--,--,--,x2.00,--,--,--
00946,畜產與生物科技學系(B組),x1.00,x1.00,--,--,--,x2.00,--,--,--,--
00948,化學系化學生物組(B組),--,x1.50,x1.00,--,--,x2.00,x1.50,--,--,--
00949,工業工程與經營資訊學系(智慧經營與管理組),x1.75,x2.00,--,x1.75,--,--,--,--,--,--
00950,食品科學系(B組),x1.00,x2.00,--,x1.00,--,x2.00,x2.00,--,--,--
00951,應用數學系(B組),x1.75,x1.75,--,x2.00,--,--,--,--,--,--
00953,企業管理學系(服務創新與經營組),x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00954,國際學院國際經營管理學位學程,x1.00,x2.00,--,x1.25,--,--,--,--,--,--
00955,企業管理學系(創業與組織領導組),x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00956,永續科學與工程學士學位學程,--,x2.00,x1.50,--,--,x1.00,x1.00,--,--,--
00957,資訊管理學系(數位行銷與電子商務應用組),x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00958,化學工程與材料工程學系(材料工程組),x1.00,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
00959,化學工程與材料工程學系(生化工程組),x1.00,x1.00,x2.00,--,--,x1.00,x2.00,--,--,--
00960,應用物理學系(B組),x1.00,x1.00,--,x1.00,--,--,--,--,--,--
01601,中國文學系,x2.00,x1.50,--,--,--,--,--,x1.50,x1.00,--
01602,法國語文學系,x1.50,x2.00,--,--,--,--,--,x1.25,x1.00,x1.00
01603,英美語文學系,x1.50,x2.00,--,--,--,--,--,x1.25,x1.00,--
01604,企業管理學系,x1.50,x2.00,--,x2.00,--,--,--,--,--,--
01605,財務金融學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
01606,經濟學系,x1.25,x2.00,--,x2.00,--,--,--,--,--,--
01607,土木工程學系,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01608,化學工程與材料工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01609,大氣科學學系,x1.00,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01610,地球科學學系,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01611,物理學系,x1.00,x1.00,x1.50,--,x1.50,x1.00,--,--,--,--
01612,數學系數學科學組,x1.00,x1.25,x1.50,--,x1.25,x1.00,--,--,--,--
01613,生命科學系,x1.00,x1.00,x1.00,--,--,x1.25,x1.50,--,--,--
01614,機械工程學系光機電工程組,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01615,機械工程學系先進材料與精密製造組,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01616,機械工程學系設計與分析組,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
01617,資訊管理學系,x1.50,x2.00,x2.00,--,--,--,--,--,--,--
01618,化學學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01619,資訊工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01620,電機工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01621,通訊工程學系,x1.00,x1.00,x1.00,--,x1.00,--,--,--,--,--
01622,太空科學與工程學系,x1.00,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01623,光電科學與工程學系,x1.00,x2.00,x2.00,--,x2.00,x1.00,--,--,--,--
01624,理學院學士班,x1.00,x1.00,x1.50,--,x1.25,x1.25,--,--,--,--
01625,客家語文暨社會科學學系,x1.50,x1.00,--,x1.00,--,--,--,x1.00,--,x1.50
01626,生醫科學與工程學系,--,x1.00,--,--,x1.25,x1.25,--,--,--,--
01627,工學院學士班,x1.00,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
01628,資訊電機學院學士班,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
01629,數學系計算與資料科學組,x1.00,x1.25,x1.50,--,x1.25,x1.00,--,--,--,--
01630,地球科學學院學士班,x1.00,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01631,文學院學士班,x1.00,x1.00,--,--,--,--,--,x1.25,--,x1.25
01401,中國文學學系,x2.00,x1.00,--,--,--,--,--,x1.50,--,--
01402,教育科技學系,x2.00,x2.00,--,x1.50,--,--,--,--,--,--
01403,公共行政學系,x1.50,x2.00,--,--,--,--,--,x1.00,--,x1.00
01404,化學工程與材料工程學系,x2.00,x1.00,x1.50,--,x1.00,x2.00,--,--,--,--
01405,數學學系資料科學與數理統計組,x1.50,x1.00,x2.00,--,x1.50,--,--,--,--,--
01406,數學學系數學組,x1.50,x1.00,x2.00,--,x1.50,--,--,--,--,--
01407,資訊與圖書館學系,x2.00,x2.00,--,x1.50,--,--,--,x1.00,--,--
01408,歷史學系,x1.50,x1.00,--,--,--,--,--,x2.00,--,--
01409,資訊管理學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01410,運輸管理學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01411,土木工程學系,x2.00,--,x1.00,--,x1.50,--,--,--,--,--
01412,資訊工程學系,x2.00,x1.00,x1.50,--,x1.00,--,--,--,--,--
01413,電機工程學系電機資訊組,x1.50,x1.00,x2.00,--,x2.00,--,--,--,--,--
01414,理學院尖端材料科學學士學位學程,x1.00,x1.00,x2.00,--,x1.50,x1.50,--,--,--,--
01415,管理科學學系(事業經營組),x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01416,國際觀光管理學系全英語學士班(蘭陽校園)(產業實習組),x1.00,x2.00,--,--,--,--,--,--,x1.00,--
01417,西班牙語文學系,x1.50,x2.00,--,--,--,--,--,x1.00,--,--
01418,日本語文學系,x1.50,x1.50,--,--,--,--,--,x1.00,--,--
01419,大眾傳播學系,x1.50,x1.50,--,--,--,--,--,x1.00,x1.00,x1.00
01420,法國語文學系,x2.00,x2.00,--,--,--,--,--,x1.00,x1.00,--
01421,俄國語文學系,x2.00,x2.00,--,--,--,--,--,x1.00,--,--
01422,英文學系,x1.00,x2.00,--,--,--,--,--,x1.00,--,--
01423,資訊傳播學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
01424,德國語文學系,x1.50,x2.00,--,--,--,--,--,x1.00,x1.00,--
01425,企業管理學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01426,風險管理與保險學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01427,財務金融學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01428,國際企業學系經貿管理組,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01429,產業經濟學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01430,統計學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01431,會計學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01432,經濟學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01433,水資源及環境工程學系水資源工程組,x2.00,--,x1.50,--,x1.00,--,--,--,--,--
01434,建築學系,x1.50,x2.00,x1.50,--,x1.00,x1.00,--,--,--,--
01435,航空太空工程學系,x1.00,x2.00,x2.00,--,x2.00,x1.00,--,--,--,--
01436,機械與機電工程學系光機電整合組,x1.50,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01437,化學學系化學與生物化學組,x1.00,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
01438,化學學系材料化學組,x1.00,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
01439,物理學系光電物理組,x1.00,--,--,--,x2.00,x1.50,--,--,--,--
01440,物理學系應用物理組,x1.00,--,--,--,x2.00,x1.50,--,--,--,--
01441,英美語言文化學系全英語學士班(蘭陽校園),x1.00,x2.00,--,--,--,--,--,x1.00,--,--
01442,全球政治經濟學系全英語學士班(蘭陽校園),x1.00,x2.00,--,--,--,--,--,x1.00,--,--
01443,資訊創新與科技學系應用資訊全英語組(蘭陽校園),x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01444,資訊創新與科技學系軟體工程全英語組(蘭陽校園),x1.00,x2.00,x2.00,--,--,--,--,--,--,--
01445,國際觀光管理學系全英語學士班(蘭陽校園)(海外實習組),x1.00,x2.00,--,--,--,--,--,--,x1.00,--
01446,電機工程學系電機通訊組,x1.50,x1.00,x2.00,--,x2.00,--,--,--,--,--
01447,電機工程學系電機與系統組,x1.50,x1.00,x2.00,--,x2.00,--,--,--,--,--
01448,機械與機電工程學系精密機械組,x1.50,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01449,水資源及環境工程學系環境工程組,x2.00,--,x1.00,--,--,x1.50,--,--,--,--
01450,商管學院全球財務管理全英語學士學位學程,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01451,外交與國際關係學系全英語學士班,x1.50,x2.00,--,--,--,--,--,x1.50,--,--
01452,國際企業學系國際商學全英語組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
01453,管理科學學系(行銷與流通管理組),x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01501,中國文學系,x2.00,x1.25,--,--,--,--,--,x2.00,--,--
01502,財稅學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
01503,土地管理學系,x1.50,x1.00,--,x1.00,--,--,--,x1.00,x1.50,--
01504,企業管理學系,x2.00,x2.00,--,x1.75,--,--,--,x1.00,x1.00,--
01505,合作經濟暨社會事業經營學系,x1.50,x2.00,--,x1.50,--,--,--,x1.00,x1.00,--
01506,風險管理與保險學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
01507,財務金融學系,x1.00,x1.50,--,x1.00,--,--,--,--,--,--
01508,國際經營與貿易學系,x1.25,x2.00,--,x1.50,--,--,--,--,--,--
01509,統計學系商業大數據組,x1.50,x1.75,--,x2.00,--,--,--,--,--,--
01510,會計學系,x2.00,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
01511,經濟學系,x1.50,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
01512,土木工程學系,x2.00,--,x1.50,--,x2.00,--,--,--,--,--
01513,工業工程與系統管理學系A組,x2.00,x2.00,x1.00,--,--,--,--,--,--,--
01514,水利工程與資源保育學系A組,x2.00,x2.00,x1.00,--,--,--,--,--,--,--
01515,運輸與物流學系,x2.00,x2.00,--,x1.75,--,--,--,--,--,--
01516,電子工程學系乙組,x1.00,x1.00,--,x1.75,--,--,--,--,--,--
01517,航太與系統工程學系,x2.00,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
01518,都市計畫與空間資訊學系,x2.00,x1.00,--,x1.00,--,--,--,--,x2.00,--
01519,機械與電腦輔助工程學系,x2.00,--,x1.50,--,x1.50,--,--,--,--,--
01520,材料科學與工程學系,x1.00,x2.00,x1.00,--,x1.50,x2.00,--,--,--,--
01521,應用數學系A組,x1.75,x1.75,x2.00,--,--,--,--,--,--,--
01522,自動控制工程學系甲組,x2.00,x1.00,x1.50,--,x1.50,--,--,--,--,--
01523,資訊工程學系甲組,x2.00,x1.50,x1.50,--,x1.00,--,--,--,--,--
01524,電子工程學系甲組,x1.00,x1.00,x1.00,--,x1.50,--,--,--,--,--
01525,電機工程學系甲組,x2.00,x1.00,x1.50,--,x1.50,--,--,--,--,--
01526,通訊工程學系甲組,x1.00,x1.00,x1.00,--,x1.00,--,--,--,--,--
01527,資訊電機學院學士班甲組,x1.50,x1.00,x1.50,--,x1.50,--,--,--,--,--
01528,外國語文學系,x1.75,x2.00,--,--,--,--,--,x1.50,--,--
01529,化學工程學系,x2.00,x1.00,x2.00,--,x1.00,x2.00,--,--,--,--
01530,纖維與複合材料學系,x2.00,x1.00,x2.00,--,x1.00,x2.00,--,--,--,--
01531,環境工程與科學學系,x2.00,--,x1.75,--,--,x2.00,--,--,--,--
01532,光電科學與工程學系A組,x2.00,x1.50,x1.50,--,--,--,--,--,--,--
01534,電機工程學系乙組,x1.50,x1.25,--,x1.50,--,--,--,--,--,--
01535,行銷學系,x2.00,x2.00,--,x1.75,--,--,--,--,--,--
01536,工業工程與系統管理學系B組,x2.00,x2.00,--,x1.00,--,--,--,--,--,--
01537,應用數學系B組,x1.75,x1.75,--,x2.00,--,--,--,--,--,--
01538,精密系統設計學士學位學程,x2.00,--,x1.50,--,x2.00,--,--,--,--,--
01539,財務工程與精算學士學位學程,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
01540,國際經營與貿易學系國際企業管理全英語學士班,x1.00,x2.00,--,x1.25,--,--,--,--,--,--
01541,資訊工程學系乙組,x2.00,x1.50,--,x1.50,--,--,--,--,--,--
01542,建築專業學院學士班,x2.00,x2.00,x1.75,--,x1.00,--,--,--,--,--
01543,資訊電機學院學士班乙組,x1.50,x1.25,--,x1.50,--,--,--,--,--,--
01544,光電科學與工程學系B組,x1.50,x1.50,--,x2.00,--,--,--,--,--,--
01545,水利工程與資源保育學系B組,x2.00,x2.00,--,x1.00,--,--,--,--,--,--
01546,統計學系大數據分析與市場決策組,x1.50,x1.75,--,x2.00,--,--,--,--,--,--
01547,通訊工程學系乙組,x1.00,x1.00,--,x1.50,--,--,--,--,--,--
01548,自動控制工程學系乙組,x2.00,x1.25,--,x1.50,--,--,--,--,--,--
01702,生活應用科學系,x2.00,x1.00,--,x1.00,--,--,--,x2.00,x2.00,--
01704,韓國語文學系,x2.00,x2.00,--,--,--,--,--,x1.00,x1.00,--
01705,法國語文學系,x2.00,x2.00,--,--,--,--,--,x1.00,x1.00,--
01706,俄國語文學系,x2.00,x2.00,--,--,--,--,--,x1.00,x1.00,--
01707,保健營養學系,x2.00,x1.00,--,--,--,x2.00,x2.00,--,--,--
01708,資訊管理學系(雲端服務暨巨量資料組),x1.00,x1.50,--,x2.00,--,--,--,x1.00,x2.00,--
01709,新聞學系,x2.00,x2.00,--,x1.00,--,--,--,x1.00,--,x2.00
01710,廣告學系A組,x2.00,x2.00,--,x1.00,--,--,--,--,--,x1.00
01711,資訊工程學系B組,x2.00,x1.00,--,x2.00,--,--,--,x2.00,x1.00,--
01712,資訊傳播學系,x2.00,x1.00,--,--,--,--,--,x1.50,--,x1.50
01713,大眾傳播學系,x2.00,x1.00,--,x1.00,--,--,--,x2.00,--,x2.00
01714,戲劇學系,x2.00,x1.00,--,--,--,--,--,x1.00,x1.00,--
01715,景觀學系,x2.00,x2.00,--,x1.00,--,--,--,--,--,--
01716,哲學系,x2.00,x1.50,--,--,--,--,--,x2.00,--,--
01717,中國文學系中國文學組,x2.00,x2.00,--,--,--,--,--,x2.00,x1.00,--
01718,中國文學系文藝創作組,x2.00,x2.00,--,--,--,--,--,x2.00,x1.00,--
01719,史學系,x2.00,x2.00,--,--,--,--,--,x2.00,x1.00,x1.00
01720,日本語文學系,x2.00,x1.50,--,--,--,--,--,x2.00,x1.00,--
01721,英國語文學系,x1.00,x2.00,--,--,--,--,--,x1.25,--,--
01722,體育學系,x2.00,x2.00,--,--,--,--,x1.00,--,--,--
01723,法律學系法學組,x1.50,x1.50,--,--,--,--,--,x1.00,x1.00,x1.00
01724,法律學系財經法律組,x1.50,x1.50,--,--,--,--,--,x1.00,x1.00,x1.00
01725,政治學系,x1.50,x1.00,--,--,--,--,--,x1.50,--,--
01726,經濟學系,x1.75,x2.00,--,x2.00,--,--,--,--,--,--
01727,勞動暨人力資源學系,x2.00,x1.50,--,--,--,--,--,x2.00,--,--
01728,社會福利學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,--,x1.00
01729,行政管理學系,x1.50,x1.50,--,--,--,--,--,x1.00,--,x2.00
01730,國際貿易學系,x2.00,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
01731,國際企業管理學系,x2.00,x1.00,--,x1.00,--,--,--,x1.00,x1.00,--
01732,會計學系,x2.00,x2.00,--,x1.00,--,--,--,x2.00,x1.00,--
01733,觀光事業學系,x1.00,x2.00,--,--,--,--,--,x2.00,x1.50,x1.00
01734,資訊管理學系(智慧商務科技組),x1.00,x2.00,--,x1.50,--,--,--,x2.00,x1.00,--
01735,財務金融學系金融行銷組,x1.00,x1.00,--,--,--,--,--,x1.00,--,x2.00
