代碼,學系,國,英,數甲,數乙,物,化,生,歷,地,公
00409,生命科學系,--,x1.25,x1.00,--,x1.00,x1.50,x1.50,--,--,--
00410,醫學檢驗生物技術學系,x1.00,x1.25,x1.00,--,--,x1.25,x1.25,--,--,--
00411,護理學系,x1.00,x1.50,x1.00,--,--,x1.00,x1.50,--,--,--
00412,中國文學系,x1.50,x1.00,--,x1.00,--,--,--,x1.00,x1.00,--
00413,外國語文學系,x1.50,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00414,歷史學系,x1.25,x1.25,--,--,--,--,--,x1.50,x1.00,--
00415,台灣文學系,x2.00,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00416,會計學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00417,企業管理學系,x1.00,x1.25,--,x1.00,--,--,--,--,--,--
00418,政治學系,x1.25,x1.25,--,x1.00,--,--,--,x1.00,--,x1.00
00419,經濟學系,x1.50,x2.00,--,x2.00,--,--,--,--,--,--
00420,法律學系,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.00
00421,物理學系,x1.00,x1.00,x1.50,--,x1.50,x1.00,--,--,--,--
00422,統計學系,x1.00,x1.50,x1.50,--,--,--,--,--,--,--
00423,機械工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00424,電機工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00425,化學工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00426,資源工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00427,材料科學及工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00428,建築學系,x1.25,x1.00,x1.25,--,x1.25,x1.00,--,--,--,--
00429,工程科學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00430,系統及船舶機電工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00431,都市計劃學系(自然組),x1.50,x1.50,x1.50,--,x1.00,x1.00,--,--,--,--
00432,航空太空工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00433,資訊工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00434,工業與資訊管理學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00435,交通管理科學系,x1.00,x1.00,x1.00,--,x1.00,--,--,--,--,--
00436,醫學系(自費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00437,職能治療學系,x1.00,x1.00,x1.00,--,x1.00,--,x1.00,--,--,--
00438,物理治療學系,x1.00,x1.25,x1.00,--,x1.00,--,x1.00,--,--,--
00439,光電科學與工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00440,全校不分系學士學位學程,x1.00,x1.00,x1.50,--,x1.00,x1.00,--,--,--,--
00441,都市計劃學系(社會組),x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
00442,心理學系,x1.00,x1.50,x1.50,--,--,x1.00,x1.00,--,--,--
00443,生物醫學工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00444,藥學系,x1.00,x1.00,x1.00,--,--,x1.25,x1.00,--,--,--
00445,生物科技與產業科學系,--,x1.50,x1.00,--,x1.00,x1.50,x1.50,--,--,--
00446,醫學系(公費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00447,牙醫學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00448,機械工程學系(普渡雙聯組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00449,電機工程學系(普渡雙聯組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00450,資訊工程學系(普渡雙聯組),x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00701,心理學系,x2.00,x2.00,x1.50,--,--,--,x1.00,--,--,--
00702,生物醫學暨環境生物學系,x1.00,x1.50,x1.00,--,--,x1.25,x1.50,--,--,--
00703,藥學系,x1.00,x1.00,--,--,x1.00,x1.25,x1.25,--,--,--
00704,護理學系,x1.25,x2.00,x1.00,--,--,--,x2.00,--,--,--
00705,醫學檢驗生物技術學系,x1.00,x1.25,x1.00,--,--,x1.25,x1.25,--,--,--
00706,物理治療學系,x1.00,x1.50,x1.50,--,x1.00,--,x1.50,--,--,--
00707,職能治療學系,x1.50,x1.50,--,--,x1.00,--,x1.50,--,--,--
00708,醫學社會學與社會工作學系,x2.00,x2.00,--,x1.50,--,--,--,x1.00,--,x1.00
00709,醫藥暨應用化學系醫藥化學組,--,x1.50,x1.50,--,--,x1.50,x1.00,--,--,--
00710,生物科技學系,x1.00,x1.25,x1.00,--,--,x1.25,x1.75,--,--,--
00711,香粧品學系,x1.00,x2.00,x1.00,--,--,x1.50,x1.50,--,--,--
00712,醫藥暨應用化學系應用化學組,--,x1.50,x1.50,--,x1.00,x1.50,--,--,--,--
00713,醫學系(自費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00714,牙醫學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00715,醫學影像暨放射科學系,--,x1.00,x1.00,--,x1.50,x1.25,x1.25,--,--,--
00716,公共衛生學系,x1.00,x2.00,x2.00,--,--,x1.00,x1.75,--,--,--
00717,口腔衛生學系,x1.50,x1.25,x1.00,--,--,x1.00,x1.50,--,--,--
00718,醫務管理暨醫療資訊學系,x1.50,x2.00,x2.00,--,x1.00,--,x1.00,--,--,--
00719,運動醫學系,x1.00,x1.50,--,--,x1.00,x1.25,x1.25,--,--,--
00720,呼吸治療學系,--,x1.25,x1.00,--,x1.00,x1.25,x1.25,--,--,--
00721,醫學系(公費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00722,生命科學院學士班,--,x1.00,--,--,--,x1.00,x1.00,--,--,--
00201,資訊工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00202,英語學系,x1.50,x2.00,--,x1.00,--,--,--,--,--,--
00206,教育學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00207,健康促進與衛生教育學系,x1.00,x2.00,x1.00,--,--,--,x2.00,--,--,--
00208,國文學系,x2.00,x1.50,--,--,--,--,--,x1.00,x1.00,--
00209,物理學系,x1.00,x1.00,x1.50,--,x1.50,x1.00,--,--,--,--
00210,生命科學系,x1.00,x1.25,x1.00,--,--,x1.25,x1.50,--,--,--
00211,地球科學系,--,x1.00,x2.00,--,x2.00,x1.50,--,--,--,--
00212,教育心理與輔導學系,x1.00,x1.25,--,x1.25,--,--,--,x1.00,--,x1.00
00213,社會教育學系,x1.50,x1.50,--,--,--,--,--,x1.00,x1.00,x1.50
00214,企業管理學系,x1.50,x2.00,--,x2.00,--,--,--,--,--,--
00215,東亞學系,x1.50,x1.50,--,x1.00,--,--,--,--,--,x1.00
00216,人類發展與家庭學系家庭生活教育組,x1.75,x2.00,--,x2.00,--,--,--,--,--,--
00217,公民教育與活動領導學系,x1.25,x1.25,--,x1.00,--,--,--,--,--,x2.00
00218,特殊教育學系,x1.25,x1.25,--,x1.00,--,--,--,--,--,--
00219,歷史學系,x1.25,x1.25,--,x1.00,--,--,--,x1.50,x1.00,--
00220,地理學系,x1.00,x1.25,--,x1.00,--,--,--,x1.00,x1.50,--
00221,數學系,x1.00,x1.00,x2.00,--,x1.50,x1.00,--,--,--,--
00222,化學系,x1.00,x1.25,x1.00,--,x1.50,x1.75,--,--,--,--
00224,科技應用與人力資源發展學系,x1.00,x1.25,x1.25,--,x1.00,x1.00,--,--,--,--
00225,圖文傳播學系,x1.25,x1.25,x1.00,--,x1.00,x1.00,--,--,--,--
00226,人類發展與家庭學系幼兒發展與教育組,x2.00,x2.00,--,x1.75,--,--,--,--,--,--
00227,營養科學學士學位學程,x1.00,x1.50,x1.00,--,--,x1.50,x1.50,--,--,--
00228,機電工程學系,x1.00,x1.50,x2.00,--,x2.00,x1.00,--,--,--,--
00230,工業教育學系,x1.00,x1.50,x1.50,--,--,--,--,--,--,--
00231,教育學院學士班,x1.00,x1.00,--,x1.00,--,--,--,--,--,x1.00
00232,華語文教學系應用華語文學組,x2.00,x2.00,--,--,--,--,--,x1.00,x1.00,--
00233,電機工程學系,x1.00,x2.00,x2.00,--,x2.00,x1.00,--,--,--,--
00234,臺灣語文學系,x1.50,x1.50,--,--,--,--,--,x1.00,x1.00,x1.50
00235,學習科學學士學位學程,x1.00,x1.00,x1.00,--,--,--,--,--,--,--
00236,光電工程學士學位學程,x1.00,x1.00,x2.00,--,x2.00,x1.50,--,--,--,--
00237,車輛與能源工程學士學位學程,x1.00,x1.00,x1.50,--,x1.50,--,--,--,--,--
00240,設計學系產品設計組,x1.00,x1.25,x1.25,--,x1.25,--,--,--,--,--
00601,土耳其語文學系,x2.00,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00602,外交學系,x1.50,x1.75,--,x1.25,--,--,--,x1.00,x1.00,--
00603,財政學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
00604,心理學系,x1.00,x1.25,x1.00,--,--,--,--,--,--,--
00605,韓國語文學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00606,中國文學系,x1.50,x1.25,--,x1.00,--,--,--,x1.00,--,--
00607,日本語文學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00608,阿拉伯語文學系,x1.50,x1.50,--,x1.00,--,--,--,x1.25,x1.00,--
00609,斯拉夫語文學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00610,哲學系,x1.25,x1.25,--,x1.25,--,--,--,x1.00,--,x1.00
00611,東南亞語言與文化學士學位學程,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00612,教育學系,x1.00,x2.00,--,x1.00,--,--,--,--,--,--
00613,歷史學系,x1.00,x1.00,--,x1.00,--,--,--,x1.50,x1.00,--
00614,民族學系,x1.00,x1.00,--,--,--,--,--,x1.25,x1.25,x1.50
00615,社會學系,x1.50,x1.50,--,x1.50,--,--,--,--,--,x1.00
00616,經濟學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
00617,企業管理學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00618,金融學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
00619,風險管理與保險學系,x1.00,x1.50,--,x1.50,--,--,--,--,--,--
00620,財務管理學系,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00621,國際經營與貿易學系,x1.50,x2.00,--,x2.00,--,--,--,--,--,--
00622,統計學系社會組,x1.50,x1.50,--,x2.00,--,--,--,x1.00,x1.00,--
00623,會計學系,x1.50,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
00624,資訊管理學系社會組,x1.00,x2.00,--,x2.00,--,--,--,--,--,--
00625,資訊管理學系自然組,x1.00,x2.00,x2.00,--,--,--,--,--,--,--
00626,資訊科學系,x1.00,x1.50,x1.50,--,x1.00,x1.00,--,--,--,--
00627,統計學系自然組,x1.50,x1.50,x2.00,--,x1.00,x1.00,--,--,--,--
00629,法律學系,x1.00,x2.00,--,x1.00,--,--,--,x1.00,--,x1.00
00630,傳播學院大一大二不分系自然組,x1.00,x1.50,x1.50,--,--,--,--,--,--,--
00631,英國語文學系,x1.50,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00632,傳播學院大一大二不分系社會組,x1.50,x1.50,--,x1.00,--,--,--,x1.00,--,x1.00
00635,公共行政學系,x1.00,x1.50,--,x1.25,--,--,--,--,--,x1.25
00636,地政學系土地資源規劃組,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
00637,地政學系土地管理組,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
00638,政治學系,x1.50,x1.50,--,x1.25,--,--,--,--,--,x1.00
00639,地政學系土地測量與資訊組,x1.25,x1.50,x2.00,--,x1.00,x1.00,--,--,--,--
00640,應用數學系,x1.00,x1.00,x1.50,--,x1.00,x1.00,--,--,--,--
00641,歐洲語文學系西班牙文組,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00642,歐洲語文學系德文組,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00643,歐洲語文學系法文組,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00801,室內設計學系,x2.00,x1.00,--,x1.00,--,--,--,x2.00,x1.50,--
00802,特殊教育學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
00803,商業設計學系商業設計組,x2.00,x2.00,--,x1.00,--,--,--,x1.50,x1.00,--
00804,應用外國語文學系,x1.50,x2.00,--,--,--,--,--,x1.00,x1.00,--
00805,財經法律學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,--,x1.00
00806,國際經營與貿易學系,x1.75,x2.00,--,x2.00,--,--,--,--,--,--
00807,會計學系,x1.75,x2.00,--,x2.00,--,--,--,--,--,--
00808,工業與系統工程學系工程組,x1.00,x1.00,x1.00,--,--,--,--,--,--,--
00809,建築學系,x1.75,x1.75,x2.00,--,x1.00,x1.00,--,--,--,--
00810,物理學系物理組,--,x1.00,x1.50,--,x2.00,--,--,--,--,--
00811,應用數學系,x1.25,x1.25,x2.00,--,--,--,--,--,--,--
00812,生物科技學系,--,x1.75,--,--,--,x2.00,x2.00,--,--,--
00813,企業管理學系服務業管理組,x2.00,x2.00,--,x1.75,--,--,--,x1.00,x1.00,--
00814,資訊工程學系,x1.00,x1.00,x1.00,--,x1.00,--,--,--,--,--
00815,電子工程學系,--,x1.00,x1.00,--,x1.00,--,--,--,--,--
00816,電機工程學系,--,x1.00,x1.00,--,x1.00,--,--,--,--,--
00817,機械工程學系,x2.00,x1.00,x2.00,--,x2.00,x1.00,--,--,--,--
00818,化學系化學組,--,x1.00,x1.50,--,x1.50,x2.00,--,--,--,--
00819,化學系材料化學組,--,x1.00,x1.50,--,x1.50,x2.00,--,--,--,--
00820,心理學系,x1.50,x2.00,x2.00,--,--,--,--,--,--,--
00822,應用華語文學系,x2.00,x1.75,--,--,--,--,--,x1.25,x1.00,--
00823,資訊管理學系,x1.75,x2.00,--,x2.00,--,--,--,--,--,--
00824,土木工程學系,x2.00,x1.00,x2.00,--,x2.00,--,--,--,--,--
00825,生物醫學工程學系,--,x1.00,x2.00,--,x2.00,x2.00,--,--,--,--
00826,化學工程學系綠能製程組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00827,景觀學系,x1.00,x1.50,--,x1.00,--,--,--,x2.00,x2.00,--
00828,環境工程學系,x2.00,x1.50,x1.00,--,x1.00,x2.00,--,--,--,--
00829,財務金融學系,x1.75,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
00830,物理學系光電與材料科學組,--,x1.00,x1.50,--,x2.00,--,--,--,--,--
00831,電機資訊學院學士班,--,x1.00,x1.00,--,x1.00,--,--,--,--,--
00832,化學工程學系生化工程組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00833,化學工程學系材料工程組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00834,工業與系統工程學系管理組,x1.00,x1.00,--,x1.00,--,--,--,--,--,--
00835,企業管理學系高科技業管理組,x1.75,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
00836,企業管理學系工商管理組,x2.00,x2.00,--,x1.75,--,--,--,x1.00,x1.00,--
00837,商業設計學系產品設計組,x2.00,x2.00,x1.00,--,x1.00,--,--,--,--,--
00101,公共衛生學系,--,x1.25,x1.25,--,--,x1.00,--,--,--,--
00102,財務金融學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
00103,人類學系,x1.00,x1.50,--,--,--,--,--,x1.00,x1.00,x1.00
00104,中國文學系,x1.50,x1.25,--,x1.00,--,--,--,x1.25,x1.00,--
00105,日本語文學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
00106,外國語文學系,x1.25,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
00107,哲學系,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.00
00108,圖書資訊學系,x1.25,x1.25,--,x1.00,--,--,--,x1.00,--,x1.00
00109,歷史學系,x1.00,x1.00,--,--,--,--,--,x1.00,x1.00,x1.00
00110,戲劇學系,x1.50,x1.50,--,x1.00,--,--,--,x1.00,x1.00,--
