Code,name,num,s_Chinese,s_English,s_Math,s_Society,s_Science,m_Chinese,m_English,m_Math,m_Society,m_Science
150022,應用經濟與管理學系,26,--,均,--,--,--,--,3,3,--,--
150032,休閒產業與健康促進學系,12,後,均,--,--,--,--,4,--,--,--
150042,土木工程學系,28,--,--,--,--,後,--,--,3,--,3
150052,機械與機電工程學系,18,--,--,--,--,後,--,--,--,--,5
150062,化學工程與材料工程學系,34,--,--,均,--,均,--,--,--,--,--
150072,環境工程學系,18,--,--,後,--,後,--,5,3,--,4
150082,生物機電工程學系,18,--,--,均,--,--,--,--,--,--,--
150092,食品科學系,20,--,--,--,--,均,--,--,--,--,3
150102,生物技術與動物科學系,32,--,--,--,--,後,--,5,--,--,4
150112,森林暨自然資源學系,13,--,--,--,--,均,6,--,--,--,3.5
150122,園藝學系,18,--,--,--,--,均,4,5,--,--,3
150132,電機工程學系,39,--,--,均,--,--,--,--,6,--,5
150142,電子工程學系,36,--,--,均,--,--,--,--,4,--,5
150152,資訊工程學系,18,--,--,均,--,--,--,3,3,--,--
151012,機械工程學系,28,--,--,--,--,後,6,--,--,--,3
151022,化學工程學系,54,--,--,後,--,--,--,--,3,--,6
151032,土木與防災工程學系,30,--,--,--,--,後,--,--,5,--,3
151042,材料科學工程學系,31,--,--,--,--,後,--,--,--,--,--
151052,環境與安全衛生工程學系,38,--,--,後,--,--,--,--,3,--,3
151062,能源工程學系,33,--,--,後,--,--,--,5,--,--,3
151072,建築學系,20,後,後,--,--,--,6,3,5,--,--
151082,工業設計學系,22,--,後,--,--,--,--,3,--,--,--
151092,電機工程學系,58,--,--,均,--,--,--,--,3,--,6
151102,電子工程學系,77,--,--,均,--,--,3,--,--,--,6
151112,光電工程學系,31,--,--,--,--,後,--,--,5,--,3
151122,資訊工程學系,17,--,後,均,--,--,--,4,5,--,--
151142,經營管理學系,48,--,均,--,--,--,3,--,3,--,--
151152,資訊管理學系,21,均,--,--,--,--,--,--,--,--,--
151172,財務金融學系,20,--,均,--,--,--,--,8,5,--,--
